mun;divipola;int_loc;int_aloj;int_aloviv;int_larv;int_iec;int_fum;int_tild;int_vac;int_per;int_tot;pob_alo;pob_viv;pob_imp;pob_ben;pob_tot;cas_den;cas_lei;cas_mal
BUENAVISTA;23079;1;1;10;1;18;0;0;0;1;;74;32;;53;;0;0;0
CANALETE;23090;3;2;6;6;7;0;0;0;1;;57;130;;130;;0;0;0
CERETE;23162;149;2;117;153;101;0;0;41;6;;128;480;;282;;0;0;0
LA APARTADA;23350;2;1;2;0;37;0;0;0;1;;187;153;;23;;0;0;0
LOS CORDOBAS;23419;9;1;32;48;21;0;0;0;2;;93;137;;41;;0;0;0
PUERTO ESCONDIDO;23574;0;0;0;0;0;0;0;23;0;;0;0;;0;;0;0;0
PUERTO LIBERTADOR;23580;6;1;25;30;17;0;0;0;6;;62;1244;;326;;0;0;0
SAN BERNARDO;23675;7;2;12;29;19;0;0;0;3;;40;51;;37;;0;0;0
MONTELIBANO;23466;28;2;34;71;69;0;0;131;1;;85;136;;70;;0;0;0
MONTERIA;23001;4;6;168;18;150;0;0;0;3;;2783;648;;120;;1;0;1
LORICA;23417;2;2;2;2;37;0;0;0;1;;30;48;;86;;0;0;0
SAHAGUN;23660;11;0;15;47;12;11;0;0;1;;0;77;;60;;0;0;0
SAN CARLOS;23678;11;2;23;63;29;0;0;0;1;;28;64;;20;;0;0;0
SAN PELAYO;23686;0;0;0;0;0;0;0;43;0;;0;0;;0;;0;0;0
TIERRALTA;23807;1;3;23;5;17;0;0;0;1;;272;25;;43;;0;0;5
VALENCIA;23855;8;2;10;0;13;0;0;0;1;;20;10;;33;;0;0;0
